name,online_order,book_table,rate,votes,rest_type,cuisines,cost,type,city_location
Sea Green Cafe,0,0,3.3,4,Cafe,Cafe FastFood Beverages,500.0,Cafes,banashankari
Cuppa,0,0,3.3,23,Cafe,Cafe FastFood,550.0,Cafes,banashankari
Srinathji's Cafe,0,0,3.8,148,CasualDining Cafe,NorthIndian Cafe Chinese FastFood,550.0,Cafes,basavanagudi banashankari
Redberrys,1,0,4.0,219,Cafe,Cafe Italian,600.0,Cafes,basavanagudi banashankari
Foodiction,1,0,2.8,506,QuickBites,NorthIndian FastFood Chinese Burger,500.0,Delivery,banashankari
Sweet Truth,1,0,3.9,35,Delivery,Bakery Desserts,500.0,Delivery,banashankari
Ovenstory Pizza,1,0,3.9,172,Delivery,Pizza,750.0,Delivery,banashankari
Faasos,1,0,4.2,415,QuickBites,NorthIndian Biryani FastFood,500.0,Delivery,banashankari
Behrouz Biryani,1,0,3.9,230,Delivery,Biryani,650.0,Delivery,banashankari
Fast And Fresh,1,0,2.8,91,QuickBites,NorthIndian Chinese FastFood,400.0,Delivery,banashankari
Szechuan Dragon,1,0,4.2,1647,CasualDining,Chinese Thai Momos,600.0,Delivery,banashankari
Empire Restaurant,1,0,4.4,4884,CasualDining,NorthIndian Mughlai SouthIndian Chinese,750.0,Delivery,jayanagar banashankari
Maruthi Davangere Benne Dosa,1,0,4.0,17,QuickBites,SouthIndian,150.0,Delivery,banashankari
Chaatimes,1,0,3.8,133,QuickBites,StreetFood FastFood,200.0,Delivery,basavanagudi banashankari
Havyaka Mess,0,0,3.9,28,Mess,SouthIndian,300.0,Delivery,banashankari
McDonald's,1,0,3.9,286,QuickBites,Burger FastFood,500.0,Delivery,banashankari
Domino's Pizza,1,0,3.9,540,QuickBites,Pizza FastFood,800.0,Delivery,banashankari
Onesta,1,1,4.6,2556,CasualDining Cafe,Pizza Cafe Italian,600.0,Delivery,banashankari
Hotboxit,0,0,3.8,36,Delivery,NorthIndian Continental Italian,400.0,Delivery,banashankari
Kitchen Garden,1,0,3.6,244,QuickBites,NorthIndian Chinese,300.0,Delivery,kumaraswamylayout banashankari
Recipe,1,0,4.0,804,CasualDining,NorthIndian Chinese Biryani Rolls,450.0,Delivery,kumaraswamylayout banashankari
Beijing Bites,1,0,3.7,679,CasualDining,Chinese Thai,850.0,Delivery,rajarajeshwarinagar banashankari
Tasty Bytes,1,0,3.1,245,QuickBites,NorthIndian Chinese Momos Rolls,300.0,Delivery,kumaraswamylayout banashankari
Petoo,0,0,3.7,21,QuickBites,NorthIndian,450.0,Delivery,banashankari
Shree Cool Point,1,0,4.1,28,QuickBites,FastFood StreetFood Beverages,150.0,Delivery,vijaynagar banashankari
Corner House Ice Cream,0,0,4.3,345,DessertParlor,IceCream Desserts,400.0,Delivery,banashankari
Biryanis And More,1,0,4.0,618,CasualDining,Biryani NorthIndian Chinese Andhra SouthIndian,750.0,Delivery,jayanagar banashankari
Roving Feast,0,0,4.0,1047,QuickBites,Italian Continental FastFood Chinese Momos,450.0,Delivery,banashankari
FreshMenu,1,0,3.9,627,Delivery,HealthyFood Chinese Biryani NorthIndian Continental Salad American Burger,450.0,Delivery,banashankari
Banashankari Donne Biriyani,1,0,3.8,104,QuickBites,Biryani FastFood,300.0,Delivery,banashankari
Wamama,1,1,4.2,354,CasualDining,Asian Korean Indonesian Japanese Chinese Thai Momos,800.0,Delivery,banashankari
Five Star Chicken,0,0,3.6,55,QuickBites,FastFood Burger,200.0,Delivery,banashankari
XO Belgian Waffle,1,0,3.7,17,DessertParlor,Desserts Beverages,400.0,Delivery,banashankari
Peppy Peppers,0,0,4.2,244,CasualDining,Italian NorthIndian Mexican,800.0,Delivery,banashankari
Goa 0 Km,1,1,3.6,163,CasualDining,Goan Seafood NorthIndian Chinese Biryani,800.0,Delivery,kumaraswamylayout banashankari
Chinese Kitchen,1,0,3.8,58,QuickBites,Chinese,150.0,Delivery,basavanagudi banashankari
1947,0,1,4.0,808,CasualDining,NorthIndian Chinese,850.0,Delivery,banashankari
Cake of the Day,0,0,3.7,78,Bakery DessertParlor,Bakery,150.0,Delivery,banashankari
Kabab Magic,1,0,4.1,1720,QuickBites,NorthIndian Kebab Chinese FastFood,400.0,Delivery,basavanagudi banashankari
Namma Brahmin's Idli,1,0,3.6,34,QuickBites,SouthIndian,100.0,Delivery,jayanagar banashankari
Gustoes Beer House,0,0,4.1,868,Pub,Continental Italian Mexican NorthIndian Chinese Steak,1200.0,Delivery,banashankari
Sugar Rush,0,0,3.8,39,Bakery,Bakery Desserts,300.0,Delivery,banashankari
Burger King,1,0,3.2,71,QuickBites,Burger FastFood Beverages,600.0,Delivery,basavanagudi banashankari
The Good Bowl,1,0,3.6,6,Takeaway Delivery,Italian NorthIndian Biryani,500.0,Delivery,banashankari
The Biryani Cafe,0,0,4.1,520,QuickBites,Biryani Chinese Kebab,300.0,Delivery,banashankari
LSD Cafe,0,0,2.9,84,Delivery,Chinese Continental Italian NorthIndian,700.0,Delivery,banashankari
Rolls On Wheels,0,0,3.6,299,QuickBites,FastFood Rolls Momos,300.0,Delivery,banashankari
Sri Guru Kottureshwara Davangere Benne Dosa,1,0,4.1,558,QuickBites,SouthIndian,150.0,Delivery,basavanagudi banashankari
Devanna Dum Biriyani Centre,1,0,3.6,28,QuickBites,Biryani SouthIndian,300.0,Delivery,banashankari
Kolbeh,0,0,3.7,22,QuickBites,FastFood,500.0,Delivery,banashankari
Upahar Sagar,0,0,3.8,39,QuickBites,SouthIndian Chinese NorthIndian,350.0,Delivery,banashankari
Kadalu Sea Food Restaurant,1,0,3.8,153,FineDining,Seafood NorthIndian Chinese Andhra Biryani Kebab,500.0,Delivery,vijaynagar banashankari
Frozen Bottle,1,0,4.2,146,BeverageShop,Beverages Desserts IceCream,400.0,Delivery,banashankari
Parimala Sweets,0,0,3.5,14,SweetShop,Mithai StreetFood,200.0,Delivery,banashankari
Vaishali Deluxe,0,0,3.8,42,CasualDining,NorthIndian Chinese,700.0,Delivery,banashankari
The Big O Bakes,0,0,4.0,66,Bakery,Bakery Desserts,300.0,Delivery,banashankari
Meghana Foods,1,0,4.4,4401,CasualDining,Biryani NorthIndian Chinese,600.0,Delivery,jayanagar banashankari
Krishna Sagar,0,0,3.5,31,QuickBites,NorthIndian,200.0,Delivery,banashankari
Dessert Rose,0,0,3.5,7,DessertParlor,Desserts,500.0,Delivery,banashankari
Chickpet Donne Biryani House,0,0,3.7,21,QuickBites,Biryani,250.0,Delivery,banashankari
Thanco's Natural Ice Creams,0,0,3.2,9,DessertParlor,IceCream,300.0,Delivery,banashankari
Nandhini Deluxe,0,0,2.6,283,CasualDining,NorthIndian,600.0,Delivery,banashankari
Vi Ra's Bar and Restaurant,0,0,3.3,62,Bar,SouthIndian NorthIndian Chinese,800.0,Delivery,banashankari
Kaggis,0,0,3.8,64,QuickBites,FastFood Bakery,250.0,Delivery,banashankari
Ayda Persian Kitchen,0,0,3.7,39,CasualDining,NorthIndian Iranian,950.0,Delivery,banashankari
Chatar Patar,0,0,3.7,65,QuickBites,FastFood StreetFood,300.0,Delivery,banashankari
Polar Bear,1,0,3.8,71,DessertParlor,IceCream Desserts Beverages Sandwich,400.0,Delivery,basavanagudi banashankari
Kidambi's Kitchen,0,0,3.5,52,QuickBites,SouthIndian,300.0,Delivery,banashankari
Mane Thindi,0,0,3.7,130,QuickBites,SouthIndian,200.0,Delivery,banashankari
Kotian Karavali Restaurant,0,0,3.5,10,QuickBites,SouthIndian Biryani,300.0,Delivery,banashankari
Floured-Baked With Love,0,0,3.8,45,Takeaway Delivery,Bakery,400.0,Delivery,banashankari
CAFE NOVA,0,0,3.2,11,Cafe,Cafe Bakery,600.0,Delivery,banashankari
Cakes & Slices,0,0,3.5,13,Bakery,Bakery Desserts,300.0,Delivery,banashankari
Spice 9,0,0,3.4,8,QuickBites,Biryani NorthIndian Chinese FastFood,300.0,Delivery,banashankari
Naveen Kabab & Biriyani Mane,0,0,3.2,9,QuickBites,Biryani,300.0,Delivery,banashankari
Katriguppe Donne Biryani,0,0,3.2,4,QuickBites,NorthIndian,300.0,Delivery,banashankari
Atithi Point Ande Ka Funda,0,0,3.1,29,QuickBites,NorthIndian,150.0,Delivery,banashankari
Just Bake,0,0,3.4,8,Bakery,Bakery Desserts,400.0,Delivery,banashankari
K27 - The Pub,0,0,3.1,30,Bar,Chinese NorthIndian,1000.0,Delivery,banashankari
Bengaluru Coffee House,1,0,4.1,201,QuickBites,SouthIndian NorthIndian Chinese StreetFood,300.0,Delivery,banashankari
New Mangalore Lunch Home,0,0,3.3,7,QuickBites,Mangalorean SouthIndian NorthIndian,200.0,Delivery,banashankari
Coffee Bytes,0,0,3.1,6,QuickBites,FastFood SouthIndian,100.0,Delivery,banashankari
Parjanya Chat Zone,0,0,3.3,17,QuickBites,StreetFood FastFood,200.0,Delivery,banashankari
Kwality Wall's Swirl's Happiness Station,0,0,2.9,25,DessertParlor,IceCream Desserts,200.0,Delivery,banashankari
Ruchi Maayaka,0,0,3.3,8,Delivery,SouthIndian,100.0,Delivery,banashankari
Anna Kuteera,1,0,4.0,771,CasualDining,SouthIndian NorthIndian Chinese,450.0,Delivery,banashankari
Darbar,0,0,3.0,98,Bar,NorthIndian Chinese,800.0,Delivery,banashankari
Vijayalakshmi,1,0,3.9,47,QuickBites,SouthIndian,200.0,Delivery,basavanagudi banashankari
Sri Udupi Food Hub,1,1,4.1,175,CasualDining,SouthIndian NorthIndian Chinese Beverages,500.0,Delivery,jayanagar banashankari
Udupi Upahar,1,0,3.8,58,QuickBites,SouthIndian Chinese NorthIndian Juices,300.0,Delivery,banashankari
House Of Kebabs,1,0,3.8,540,CasualDining,NorthIndian Kebab Biryani Chinese,650.0,Delivery,basavanagudi banashankari
Roll N Rock,1,0,3.8,124,QuickBites,Chinese NorthIndian Mughlai Rolls,400.0,Delivery,kumaraswamylayout banashankari
BOX8- Desi Meals,1,0,4.1,340,Takeaway Delivery,NorthIndian Mughlai FastFood,500.0,Delivery,banashankari
KFC,1,0,3.8,505,QuickBites,Burger FastFood,450.0,Delivery,banashankari
Roll Over,1,0,4.1,438,DessertParlor,Desserts IceCream Beverages FastFood Sandwich,500.0,Delivery,jayanagar banashankari
Imperial Restaurant,1,0,3.7,264,CasualDining,NorthIndian Chinese Biryani Beverages,750.0,Delivery,mysoreroad banashankari
Lassi Shop,1,0,3.9,169,BeverageShop,Beverages Juices IceCream,150.0,Delivery,kumaraswamylayout banashankari
The Fortuna,1,0,3.0,67,QuickBites,NorthIndian Chinese,250.0,Delivery,kumaraswamylayout banashankari
Wahab,1,0,3.7,97,QuickBites,NorthIndian Mughlai Chinese,350.0,Delivery,jayanagar banashankari
Al Diwan Biryanis And More,1,0,3.3,12,Takeaway Delivery,Biryani,300.0,Delivery,basavanagudi banashankari
New Gowda's Fried Chicken,1,0,3.3,12,QuickBites,Biryani,300.0,Delivery,banashankari
Canton,1,0,3.6,195,CasualDining,Chinese Seafood Biryani,800.0,Delivery,jayanagar banashankari
Diabetics Dezire Sugarless Sweets and Bakes,1,0,3.3,13,DessertParlor SweetShop,Desserts Mithai,300.0,Delivery,basavanagudi banashankari
The Blue Wagon - Kitchen,1,0,4.6,228,Cafe,Cafe Beverages,400.0,Delivery,jayanagar banashankari
HOT COFFEE,1,0,4.1,70,QuickBites,SouthIndian Chinese,150.0,Delivery,basavanagudi banashankari
Patio 805,1,1,4.1,364,CasualDining,Thai Vietnamese Asian Chinese,1200.0,Delivery,jayanagar banashankari
Lassi Corner,1,0,3.7,107,BeverageShop,Beverages IceCream,150.0,Delivery,basavanagudi banashankari
Sagar Deluxe,1,0,3.2,167,QuickBites,SouthIndian NorthIndian Chinese Juices,300.0,Delivery,kumaraswamylayout banashankari
Kanti Sweets,1,0,4.0,115,SweetShop,Mithai StreetFood,400.0,Delivery,banashankari
Vegetalia,1,0,3.7,27,Takeaway Delivery,Italian Pizza,400.0,Delivery,banashankari
Aramane Donne Biryani,1,0,3.5,57,QuickBites,Biryani,200.0,Delivery,banashankari
Ande Ka Funda,1,0,3.8,120,QuickBites,NorthIndian FastFood Rolls,250.0,Delivery,banashankari
Cake Ghar,1,0,3.8,15,Bakery,Bakery,400.0,Delivery,basavanagudi banashankari
Energy Addaa,1,0,4.2,64,QuickBites,Salad HealthyFood Sandwich Juices Burger Desserts Pizza,500.0,Delivery,basavanagudi banashankari
Bhattara Bhojana,1,0,3.6,66,QuickBites,SouthIndian,150.0,Delivery,banashankari
Tandoori Knight,1,0,3.0,290,QuickBites,NorthIndian Chinese Biryani Kebab,450.0,Delivery,banashankari
Dev Sagar - Food Street,1,0,4.1,233,QuickBites,StreetFood,200.0,Delivery,basavanagudi banashankari
Mitraa Da Pizza,1,0,3.8,115,QuickBites,FastFood Pizza,250.0,Delivery,kumaraswamylayout banashankari
Paradise Premium,1,0,3.1,119,CasualDining,Biryani Andhra Hyderabadi NorthIndian,700.0,Delivery,banashankari
Grazers,1,1,3.9,291,Cafe,Cafe Burger Continental Italian Desserts,650.0,Delivery,jayanagar banashankari
Shakes Theory,1,0,4.5,155,BeverageShop,Beverages Sandwich,300.0,Delivery,jayanagar banashankari
@Italy,1,0,4.1,305,CasualDining,Italian,700.0,Delivery,kumaraswamylayout banashankari
Chilli Flakes,1,0,3.6,46,QuickBites,FastFood Italian Beverages,500.0,Delivery,banashankari
Calcutta Cafe,1,0,3.5,45,QuickBites,Bengali Chinese Sandwich,350.0,Delivery,kumaraswamylayout banashankari
Old Mumbai Ice Cream,1,0,3.9,38,DessertParlor,IceCream,150.0,Delivery,banashankari
Donne Biriyani House,1,0,3.9,441,QuickBites,SouthIndian NorthIndian Chinese Biryani,400.0,Delivery,banashankari
By 2 Coffee,1,0,3.9,25,QuickBites,SouthIndian,100.0,Delivery,basavanagudi banashankari
Kedia's Fun Food,1,0,4.3,630,QuickBites,NorthIndian StreetFood Juices,200.0,Delivery,jayanagar banashankari
Davangere Butter Dosa Hotel,1,0,3.8,25,QuickBites,SouthIndian,150.0,Delivery,kumaraswamylayout banashankari
Just Shawarma,1,0,3.9,160,QuickBites,Arabian,300.0,Delivery,kumaraswamylayout banashankari
Mini Punjabi Dhaba,1,0,4.2,287,QuickBites,NorthIndian,350.0,Delivery,banashankari
Mulabagilu Dosa,1,0,3.6,11,QuickBites,SouthIndian,100.0,Delivery,basavanagudi banashankari
Caf Down The Alley,1,0,4.1,402,Cafe,Cafe,500.0,Delivery,banashankari
Gokul Veg,1,0,3.8,469,CasualDining,NorthIndian Chinese Beverages,750.0,Delivery,basavanagudi banashankari
Olive - Era,1,0,3.3,511,CasualDining,BBQ Arabian Rolls Chinese NorthIndian Juices Kebab Desserts,550.0,Delivery,kumaraswamylayout banashankari
Udupi Ruchi,1,0,3.9,57,QuickBites,SouthIndian NorthIndian Chinese StreetFood,200.0,Delivery,banashankari
Madhappa Hindu Military Hotel,1,0,3.4,14,QuickBites,SouthIndian,300.0,Delivery,banashankari
Gama Gama,1,0,3.9,264,QuickBites,SouthIndian,200.0,Delivery,banashankari
The Vintage Cafe,1,0,3.0,62,Cafe,Cafe French NorthIndian,400.0,Delivery,banashankari
Pizza Hut,1,0,3.8,693,CasualDining,Pizza FastFood,750.0,Delivery,banashankari
Mangalore Pearl,1,0,3.8,242,CasualDining,Mangalorean Seafood Chinese Biryani,650.0,Delivery,jayanagar banashankari
Asha Sweets Centre,1,0,3.6,27,DessertParlor,FastFood,250.0,Delivery,basavanagudi banashankari
Twiststick House,1,0,4.1,163,QuickBites,Continental FastFood StreetFood Momos,500.0,Delivery,basavanagudi banashankari
Cool Corner,1,0,4.2,191,QuickBites,StreetFood FastFood,250.0,Delivery,basavanagudi banashankari
Pizza Mane,1,0,3.5,32,QuickBites,Pizza Sandwich Burger FastFood,150.0,Delivery,banashankari
Dal Tadkaa,1,0,2.5,247,CasualDining,NorthIndian,500.0,Delivery,banashankari
Chutney Chang,1,1,4.1,2339,CasualDining,NorthIndian Chinese BBQ,1500.0,Delivery,jayanagar banashankari
Mystique Palate,1,0,4.1,337,QuickBites,Chinese FastFood,300.0,Delivery,jayanagar banashankari
Thamboola,1,0,3.9,135,CasualDining,NorthIndian Chinese Continental,800.0,Delivery,banashankari
Castle Rock,1,0,3.6,172,CasualDining,NorthIndian Chinese,700.0,Delivery,uttarahalli banashankari
Vietnamese Kitchen,1,0,3.6,105,CasualDining,Vietnamese,700.0,Delivery,banashankari
Smacznego,1,0,4.2,504,Cafe,Cafe Mexican Italian Momos Beverages,550.0,Delivery,banashankari
C Corner,1,0,3.2,36,QuickBites,FastFood StreetFood,200.0,Delivery,kumaraswamylayout banashankari
Paratha Merchant,1,0,3.1,39,QuickBites,NorthIndian,300.0,Delivery,kumaraswamylayout banashankari
North Rasoe,1,0,3.1,5,CasualDining,NorthIndian Chinese Biryani Kebab,500.0,Delivery,kumaraswamylayout banashankari
Toscano,1,1,4.3,1129,CasualDining,Italian Salad,1300.0,Delivery,jayanagar banashankari
Lord Of The Kitchen,1,0,3.9,56,QuickBites,NorthIndian Chinese,350.0,Delivery,kumaraswamylayout banashankari
Stoned Monkey,1,0,4.3,860,DessertParlor,Desserts IceCream,500.0,Delivery,banashankari
Central Jail Restaurant,1,0,3.8,412,CasualDining,Andhra Seafood NorthIndian Chinese,700.0,Delivery,jayanagar banashankari
Bella,1,1,3.9,142,CasualDining,Mangalorean Seafood SouthIndian,1000.0,Delivery,jayanagar banashankari
Vennela Andhra Meals,1,0,3.0,23,QuickBites,Andhra,400.0,Delivery,jayanagar banashankari
New Prashanth Hotel,1,0,3.6,143,CasualDining,SouthIndian Biryani Chinese NorthIndian,750.0,Delivery,jayanagar banashankari
The Grillo,1,1,2.8,80,CasualDining,SouthIndian Arabian Chinese NorthIndian Seafood Mangalorean,500.0,Delivery,jayanagar banashankari
Re Malnad Nati Style Hotel,1,0,3.6,16,CasualDining,SouthIndian,400.0,Delivery,jpnagar banashankari
Karma Kaapi,1,0,4.4,181,BeverageShop,Beverages Tea,250.0,Delivery,jayanagar banashankari
Tiwari's,1,0,3.8,70,QuickBites,NorthIndian StreetFood,200.0,Delivery,jayanagar banashankari
Pizza Stop,1,0,3.8,164,QuickBites,Pizza Italian,600.0,Delivery,basavanagudi banashankari
Biggies Burger 'n' More,1,0,3.6,58,QuickBites,Cafe Burger Beverages,650.0,Delivery,kumaraswamylayout banashankari
Srinathji's Cafe,0,0,3.8,148,CasualDining Cafe,NorthIndian Cafe Chinese FastFood,550.0,Delivery,basavanagudi banashankari
Kollapuri's,0,0,3.9,206,QuickBites,SouthIndian Mangalorean,450.0,Delivery,basavanagudi banashankari
Kadamba Classic,0,0,3.6,16,QuickBites,SouthIndian,300.0,Delivery,mysoreroad banashankari
RS Shiv Sagar,0,0,3.7,217,CasualDining,NorthIndian Chinese SouthIndian FastFood Juices,450.0,Delivery,basavanagudi banashankari
Kholi Mane,0,0,3.6,46,QuickBites,Andhra SouthIndian Biryani NorthIndian,450.0,Delivery,basavanagudi banashankari
Harshi Super Sandwich,0,0,3.8,148,QuickBites,FastFood StreetFood,150.0,Delivery,basavanagudi banashankari
Cake Yard,0,0,3.4,30,DessertParlor,Desserts,250.0,Delivery,basavanagudi banashankari
Rosewood International Hotel - Bar & Restaurant,0,0,3.6,8,CasualDining,NorthIndian SouthIndian Andhra Chinese,800.0,Delivery,mysoreroad banashankari
Sri Udupi Veg,0,0,3.3,4,QuickBites,SouthIndian,250.0,Delivery,jayanagar banashankari
Cake Art,0,0,3.5,15,Bakery QuickBites,Bakery,400.0,Delivery,basavanagudi banashankari
Potato House,1,0,3.4,9,QuickBites,StreetFood,200.0,Delivery,uttarahalli banashankari
Matru Sagar,1,0,3.7,31,QuickBites,SouthIndian NorthIndian,300.0,Delivery,mysoreroad banashankari
Ugadi,1,0,2.9,177,CasualDining,NorthIndian Chinese Biryani Andhra Mangalorean,700.0,Delivery,jayanagar banashankari
Sri Krishna Sweets,1,0,3.7,22,SweetShop,Mithai Desserts,250.0,Delivery,basavanagudi banashankari
In Time Cane Juice,1,0,3.5,10,BeverageShop,Juices Beverages,100.0,Delivery,kumaraswamylayout banashankari
Subway,1,0,3.7,136,QuickBites,Salad FastFood,600.0,Delivery,banashankari
Daal Roti,1,0,2.9,35,QuickBites,NorthIndian Chinese,250.0,Delivery,kumaraswamylayout banashankari
The Lassi Park,1,0,4.1,185,QuickBites,Juices Desserts,200.0,Delivery,jayanagar banashankari
Cafe Coffee Day,1,0,3.2,17,Cafe,Cafe FastFood,900.0,Delivery,jayanagar banashankari
A2B - Adyar Ananda Bhavan,1,0,3.8,155,CasualDining,SouthIndian NorthIndian Chinese StreetFood,400.0,Delivery,mysoreroad banashankari
Srikrishna Bhavan,1,0,3.8,42,QuickBites,SouthIndian NorthIndian Chinese,300.0,Delivery,banashankari
Timepass Dinner,1,0,3.8,286,CasualDining,NorthIndian,600.0,Delivery,basavanagudi banashankari
Green Gardenia,1,0,3.8,160,CasualDining,NorthIndian Chinese,700.0,Delivery,banashankari
J Spice,1,0,3.8,59,CasualDining,NorthIndian Chinese,750.0,Delivery,banashankari
Karavali Family Restaurant,1,0,3.5,90,CasualDining,Seafood Biryani SouthIndian NorthIndian Chinese,500.0,Delivery,jayanagar banashankari
Karavali Lunch Home,1,0,3.7,51,QuickBites,SouthIndian Mangalorean,350.0,Delivery,kumaraswamylayout banashankari
Hatti Kaapi,1,0,4.0,89,QuickBites,SouthIndian Beverages,200.0,Delivery,jayanagar banashankari
Kolkata Kathi Roll's,1,0,3.6,18,QuickBites,FastFood Rolls,250.0,Delivery,banashankari
Upahara Darshini,1,0,3.9,40,CasualDining,NorthIndian Chinese SouthIndian FastFood,600.0,Delivery,basavanagudi banashankari
The Chaat Shop,1,0,2.5,35,QuickBites,FastFood,200.0,Delivery,basavanagudi banashankari
Anda Ka Funda,1,0,3.4,89,QuickBites,NorthIndian Chinese Rolls,250.0,Delivery,jayanagar banashankari
Shri Vinayaka Ice N Juice,1,0,3.2,11,QuickBites,Beverages FastFood,150.0,Delivery,basavanagudi banashankari
My Tea House,1,0,3.6,62,QuickBites Cafe,Italian FastFood Cafe European,600.0,Delivery,banashankari
Ibaco,1,0,3.9,33,DessertParlor,Desserts,300.0,Delivery,jayanagar banashankari
Jalaram Sweets,1,0,3.8,32,SweetShop,Desserts Mithai,250.0,Delivery,jayanagar banashankari
Samskruti - Sanman Gardenia,1,0,4.1,139,CasualDining,NorthIndian Chinese SouthIndian,550.0,Delivery,jayanagar banashankari
Bendakaluru Bytes,1,0,3.2,154,QuickBites,FastFood,300.0,Delivery,vijaynagar banashankari
Cocoa Bakes,1,0,3.6,14,Bakery,Bakery Desserts,350.0,Delivery,banashankari
Chumma Delicious,1,0,3.7,237,QuickBites,SouthIndian FastFood,200.0,Delivery,banashankari
New Prashanth Hotel,1,0,3.9,388,CasualDining,Biryani NorthIndian Seafood Andhra,650.0,Delivery,banashankari
Dwaraka Grand,1,0,3.9,128,CasualDining,SouthIndian Chinese StreetFood Juices,500.0,Delivery,kumaraswamylayout banashankari
Gufha - The President Hotel,1,1,4.1,1875,CasualDining,NorthIndian Afghani Mughlai,1200.0,Delivery,jayanagar banashankari
Cafe Vivacity,1,0,3.8,90,Cafe,Cafe,650.0,Delivery,banashankari
Tanna's Kitchen,1,0,3.1,7,QuickBites,Italian Chinese StreetFood,250.0,Delivery,kumaraswamylayout banashankari
Shree Mandarathi Grand,1,0,3.7,38,CasualDining,SouthIndian NorthIndian,400.0,Delivery,uttarahalli banashankari
Mojo Pizza - 2X Toppings,1,0,4.2,179,Delivery,Pizza,600.0,Delivery,banashankari
Iceberg Icecreams,1,0,4.0,43,DessertParlor,Desserts IceCream,250.0,Delivery,basavanagudi banashankari
South Kitchen,1,0,4.3,275,QuickBites,SouthIndian,100.0,Delivery,basavanagudi banashankari
Chung Wah,1,0,3.7,323,CasualDining,Chinese Thai Momos,850.0,Delivery,jayanagar banashankari
Shanthi Sagar,1,0,3.1,28,CasualDining,SouthIndian NorthIndian Chinese,400.0,Delivery,uttarahalli banashankari
Millet Mama,1,0,3.9,18,QuickBites,SouthIndian HealthyFood,200.0,Delivery,basavanagudi banashankari
Bangarpet Chat Express,1,0,3.3,6,QuickBites,StreetFood FastFood,100.0,Delivery,basavanagudi banashankari
Prems Graama Bhojanam,1,0,4.3,322,CasualDining,SouthIndian,400.0,Delivery,jayanagar banashankari
Java City,1,0,2.6,157,Cafe,Cafe American Pizza,450.0,Delivery,jayanagar banashankari
Kamat Bugle Rock,1,0,3.9,543,QuickBites,SouthIndian FastFood,300.0,Delivery,basavanagudi banashankari
Woodee Pizza,1,0,3.7,180,Cafe,Cafe Pizza FastFood Beverages,500.0,Delivery,banashankari
Puliyogare Point,1,0,4.2,444,QuickBites,SouthIndian,100.0,Delivery,basavanagudi banashankari
